rowid,order,family,genus,species,longitude,latitude,year,source,study
1,Carnivora,Canidae,Canis,Canis familiaris,-41.81,-19.72,2007,atlantic_camtrap,"Paschoal, A. M. O., R. L. Massara, J. L. Santos, and A. G. Chiarello. 2012. Is the domestic dog becoming an abundant species in the Atlantic forest? A study case in southeastern Brazil. Mammalia 76:67–76."
2,Carnivora,Felidae,Leopardus,Leopardus pardalis,-41.81,-19.72,2007,atlantic_camtrap,"Paschoal, A. M. O., R. L. Massara, J. L. Santos, and A. G. Chiarello. 2012. Is the domestic dog becoming an abundant species in the Atlantic forest? A study case in southeastern Brazil. Mammalia 76:67–76."
3,Carnivora,Felidae,Puma,Puma concolor,-41.81,-19.72,2007,atlantic_camtrap,"Paschoal, A. M. O., R. L. Massara, J. L. Santos, and A. G. Chiarello. 2012. Is the domestic dog becoming an abundant species in the Atlantic forest? A study case in southeastern Brazil. Mammalia 76:67–76."
4,Carnivora,Felidae,Puma,Puma yagouaroundi,-41.81,-19.72,2007,atlantic_camtrap,"Paschoal, A. M. O., R. L. Massara, J. L. Santos, and A. G. Chiarello. 2012. Is the domestic dog becoming an abundant species in the Atlantic forest? A study case in southeastern Brazil. Mammalia 76:67–76."
5,Carnivora,Mustelidae,Eira,Eira barbara,-41.81,-19.72,2007,atlantic_camtrap,"Paschoal, A. M. O., R. L. Massara, J. L. Santos, and A. G. Chiarello. 2012. Is the domestic dog becoming an abundant species in the Atlantic forest? A study case in southeastern Brazil. Mammalia 76:67–76."
6,Carnivora,Procyonidae,Nasua,Nasua nasua,-41.81,-19.72,2007,atlantic_camtrap,"Paschoal, A. M. O., R. L. Massara, J. L. Santos, and A. G. Chiarello. 2012. Is the domestic dog becoming an abundant species in the Atlantic forest? A study case in southeastern Brazil. Mammalia 76:67–76."
7,Carnivora,Procyonidae,Procyon,Procyon cancrivorus,-41.81,-19.72,2007,atlantic_camtrap,"Paschoal, A. M. O., R. L. Massara, J. L. Santos, and A. G. Chiarello. 2012. Is the domestic dog becoming an abundant species in the Atlantic forest? A study case in southeastern Brazil. Mammalia 76:67–76."
8,Cingulata,Dasypodidae,Cabassous,Cabassous tatouay,-41.81,-19.72,2007,atlantic_camtrap,"Paschoal, A. M. O., R. L. Massara, J. L. Santos, and A. G. Chiarello. 2012. Is the domestic dog becoming an abundant species in the Atlantic forest? A study case in southeastern Brazil. Mammalia 76:67–76."
9,Cingulata,Dasypodidae,Dasypus,Dasypus novemcinctus,-41.81,-19.72,2007,atlantic_camtrap,"Paschoal, A. M. O., R. L. Massara, J. L. Santos, and A. G. Chiarello. 2012. Is the domestic dog becoming an abundant species in the Atlantic forest? A study case in southeastern Brazil. Mammalia 76:67–76."
10,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus brasiliensis,-41.81,-19.72,2007,atlantic_camtrap,"Paschoal, A. M. O., R. L. Massara, J. L. Santos, and A. G. Chiarello. 2012. Is the domestic dog becoming an abundant species in the Atlantic forest? A study case in southeastern Brazil. Mammalia 76:67–76."
11,Rodentia,Caviidae,Hydrochoerus,Hydrochoerus hydrochaeris,-41.81,-19.72,2007,atlantic_camtrap,"Paschoal, A. M. O., R. L. Massara, J. L. Santos, and A. G. Chiarello. 2012. Is the domestic dog becoming an abundant species in the Atlantic forest? A study case in southeastern Brazil. Mammalia 76:67–76."
12,Rodentia,Cuniculidae,Cuniculus,Cuniculus paca,-41.81,-19.72,2007,atlantic_camtrap,"Paschoal, A. M. O., R. L. Massara, J. L. Santos, and A. G. Chiarello. 2012. Is the domestic dog becoming an abundant species in the Atlantic forest? A study case in southeastern Brazil. Mammalia 76:67–76."
13,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta leporina,-41.81,-19.72,2007,atlantic_camtrap,"Paschoal, A. M. O., R. L. Massara, J. L. Santos, and A. G. Chiarello. 2012. Is the domestic dog becoming an abundant species in the Atlantic forest? A study case in southeastern Brazil. Mammalia 76:67–76."
14,Carnivora,Canidae,Canis,Canis familiaris,-41.81,-19.72,2008,atlantic_camtrap,"Paschoal, A. M. O., R. L. Massara, J. L. Santos, and A. G. Chiarello. 2012. Is the domestic dog becoming an abundant species in the Atlantic forest? A study case in southeastern Brazil. Mammalia 76:67–76."
15,Carnivora,Canidae,Cerdocyon,Cerdocyon thous,-41.81,-19.72,2008,atlantic_camtrap,"Paschoal, A. M. O., R. L. Massara, J. L. Santos, and A. G. Chiarello. 2012. Is the domestic dog becoming an abundant species in the Atlantic forest? A study case in southeastern Brazil. Mammalia 76:67–76."
16,Carnivora,Felidae,Leopardus,Leopardus pardalis,-41.81,-19.72,2008,atlantic_camtrap,"Paschoal, A. M. O., R. L. Massara, J. L. Santos, and A. G. Chiarello. 2012. Is the domestic dog becoming an abundant species in the Atlantic forest? A study case in southeastern Brazil. Mammalia 76:67–76."
17,Carnivora,Felidae,Leopardus,Leopardus sp.,-41.81,-19.72,2008,atlantic_camtrap,"Paschoal, A. M. O., R. L. Massara, J. L. Santos, and A. G. Chiarello. 2012. Is the domestic dog becoming an abundant species in the Atlantic forest? A study case in southeastern Brazil. Mammalia 76:67–76."
18,Carnivora,Felidae,Puma,Puma concolor,-41.81,-19.72,2008,atlantic_camtrap,"Paschoal, A. M. O., R. L. Massara, J. L. Santos, and A. G. Chiarello. 2012. Is the domestic dog becoming an abundant species in the Atlantic forest? A study case in southeastern Brazil. Mammalia 76:67–76."
19,Carnivora,Felidae,Puma,Puma yagouaroundi,-41.81,-19.72,2008,atlantic_camtrap,"Paschoal, A. M. O., R. L. Massara, J. L. Santos, and A. G. Chiarello. 2012. Is the domestic dog becoming an abundant species in the Atlantic forest? A study case in southeastern Brazil. Mammalia 76:67–76."
20,Carnivora,Mustelidae,Eira,Eira barbara,-41.81,-19.72,2008,atlantic_camtrap,"Paschoal, A. M. O., R. L. Massara, J. L. Santos, and A. G. Chiarello. 2012. Is the domestic dog becoming an abundant species in the Atlantic forest? A study case in southeastern Brazil. Mammalia 76:67–76."
21,Carnivora,Procyonidae,Nasua,Nasua nasua,-41.81,-19.72,2008,atlantic_camtrap,"Paschoal, A. M. O., R. L. Massara, J. L. Santos, and A. G. Chiarello. 2012. Is the domestic dog becoming an abundant species in the Atlantic forest? A study case in southeastern Brazil. Mammalia 76:67–76."
22,Carnivora,Procyonidae,Procyon,Procyon cancrivorus,-41.81,-19.72,2008,atlantic_camtrap,"Paschoal, A. M. O., R. L. Massara, J. L. Santos, and A. G. Chiarello. 2012. Is the domestic dog becoming an abundant species in the Atlantic forest? A study case in southeastern Brazil. Mammalia 76:67–76."
23,Cingulata,Dasypodidae,Dasypus,Dasypus novemcinctus,-41.81,-19.72,2008,atlantic_camtrap,"Paschoal, A. M. O., R. L. Massara, J. L. Santos, and A. G. Chiarello. 2012. Is the domestic dog becoming an abundant species in the Atlantic forest? A study case in southeastern Brazil. Mammalia 76:67–76."
24,Cingulata,Dasypodidae,Euphractus,Euphractus sexcinctus,-41.81,-19.72,2008,atlantic_camtrap,"Paschoal, A. M. O., R. L. Massara, J. L. Santos, and A. G. Chiarello. 2012. Is the domestic dog becoming an abundant species in the Atlantic forest? A study case in southeastern Brazil. Mammalia 76:67–76."
25,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus brasiliensis,-41.81,-19.72,2008,atlantic_camtrap,"Paschoal, A. M. O., R. L. Massara, J. L. Santos, and A. G. Chiarello. 2012. Is the domestic dog becoming an abundant species in the Atlantic forest? A study case in southeastern Brazil. Mammalia 76:67–76."
26,Pilosa,Myrmecophagidae,Tamandua,Tamandua tetradactyla,-41.81,-19.72,2008,atlantic_camtrap,"Paschoal, A. M. O., R. L. Massara, J. L. Santos, and A. G. Chiarello. 2012. Is the domestic dog becoming an abundant species in the Atlantic forest? A study case in southeastern Brazil. Mammalia 76:67–76."
27,Rodentia,Cuniculidae,Cuniculus,Cuniculus paca,-41.81,-19.72,2008,atlantic_camtrap,"Paschoal, A. M. O., R. L. Massara, J. L. Santos, and A. G. Chiarello. 2012. Is the domestic dog becoming an abundant species in the Atlantic forest? A study case in southeastern Brazil. Mammalia 76:67–76."
28,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta leporina,-41.81,-19.72,2008,atlantic_camtrap,"Paschoal, A. M. O., R. L. Massara, J. L. Santos, and A. G. Chiarello. 2012. Is the domestic dog becoming an abundant species in the Atlantic forest? A study case in southeastern Brazil. Mammalia 76:67–76."
29,Artiodactyla,Cervidae,Mazama,Mazama sp.,-48.38,-23.84,2009,atlantic_camtrap,"Lima, E. F. de. 2012. Estrutura da comunidade de mamiferos de medio e grande porte em uma paisagem fragmentada com matriz de eucalipto, Capao Bonito e Buri, SP. Universidade de Sao Paulo."
30,Artiodactyla,Tayassuidae,Pecari,Pecari tajacu,-48.38,-23.84,2009,atlantic_camtrap,"Lima, E. F. de. 2012. Estrutura da comunidade de mamiferos de medio e grande porte em uma paisagem fragmentada com matriz de eucalipto, Capao Bonito e Buri, SP. Universidade de Sao Paulo."
31,Carnivora,Canidae,Cerdocyon,Cerdocyon thous,-48.38,-23.84,2009,atlantic_camtrap,"Lima, E. F. de. 2012. Estrutura da comunidade de mamiferos de medio e grande porte em uma paisagem fragmentada com matriz de eucalipto, Capao Bonito e Buri, SP. Universidade de Sao Paulo."
32,Carnivora,Mustelidae,Eira,Eira barbara,-48.38,-23.84,2009,atlantic_camtrap,"Lima, E. F. de. 2012. Estrutura da comunidade de mamiferos de medio e grande porte em uma paisagem fragmentada com matriz de eucalipto, Capao Bonito e Buri, SP. Universidade de Sao Paulo."
33,Carnivora,Procyonidae,Nasua,Nasua nasua,-48.38,-23.84,2009,atlantic_camtrap,"Lima, E. F. de. 2012. Estrutura da comunidade de mamiferos de medio e grande porte em uma paisagem fragmentada com matriz de eucalipto, Capao Bonito e Buri, SP. Universidade de Sao Paulo."
34,Cingulata,Dasypodidae,Dasypus,Dasypus novemcinctus,-48.38,-23.84,2009,atlantic_camtrap,"Lima, E. F. de. 2012. Estrutura da comunidade de mamiferos de medio e grande porte em uma paisagem fragmentada com matriz de eucalipto, Capao Bonito e Buri, SP. Universidade de Sao Paulo."
35,Didelphimorphia,Didelphidae,Didelphis,Didelphis sp.,-48.38,-23.84,2009,atlantic_camtrap,"Lima, E. F. de. 2012. Estrutura da comunidade de mamiferos de medio e grande porte em uma paisagem fragmentada com matriz de eucalipto, Capao Bonito e Buri, SP. Universidade de Sao Paulo."
36,Pilosa,Myrmecophagidae,Myrmecophaga,Myrmecophaga tridactyla,-48.38,-23.84,2009,atlantic_camtrap,"Lima, E. F. de. 2012. Estrutura da comunidade de mamiferos de medio e grande porte em uma paisagem fragmentada com matriz de eucalipto, Capao Bonito e Buri, SP. Universidade de Sao Paulo."
37,Pilosa,Myrmecophagidae,Tamandua,Tamandua tetradactyla,-48.38,-23.84,2009,atlantic_camtrap,"Lima, E. F. de. 2012. Estrutura da comunidade de mamiferos de medio e grande porte em uma paisagem fragmentada com matriz de eucalipto, Capao Bonito e Buri, SP. Universidade de Sao Paulo."
38,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta azarae,-48.38,-23.84,2009,atlantic_camtrap,"Lima, E. F. de. 2012. Estrutura da comunidade de mamiferos de medio e grande porte em uma paisagem fragmentada com matriz de eucalipto, Capao Bonito e Buri, SP. Universidade de Sao Paulo."
39,Carnivora,Canidae,Cerdocyon,Cerdocyon thous,-47.54,-21.72,2006,atlantic_camtrap,"Lyra-Jorge, M. C., G. Ciocheti, and V. R. Pivello. 2008. Carnivore mammals in a fragmented landscape in northeast of Sao Paulo State, Brazil. Biodiversity and Conservation 17:1573–1580."
40,Carnivora,Canidae,Chrysocyon,Chrysocyon brachyurus,-47.54,-21.72,2006,atlantic_camtrap,"Lyra-Jorge, M. C., G. Ciocheti, and V. R. Pivello. 2008. Carnivore mammals in a fragmented landscape in northeast of Sao Paulo State, Brazil. Biodiversity and Conservation 17:1573–1580."
41,Carnivora,Felidae,Leopardus,Leopardus pardalis,-47.54,-21.72,2006,atlantic_camtrap,"Lyra-Jorge, M. C., G. Ciocheti, and V. R. Pivello. 2008. Carnivore mammals in a fragmented landscape in northeast of Sao Paulo State, Brazil. Biodiversity and Conservation 17:1573–1580."
42,Carnivora,Felidae,Leopardus,Leopardus guttulus,-47.54,-21.72,2006,atlantic_camtrap,"Lyra-Jorge, M. C., G. Ciocheti, and V. R. Pivello. 2008. Carnivore mammals in a fragmented landscape in northeast of Sao Paulo State, Brazil. Biodiversity and Conservation 17:1573–1580."
43,Carnivora,Felidae,Puma,Puma concolor,-47.54,-21.72,2006,atlantic_camtrap,"Lyra-Jorge, M. C., G. Ciocheti, and V. R. Pivello. 2008. Carnivore mammals in a fragmented landscape in northeast of Sao Paulo State, Brazil. Biodiversity and Conservation 17:1573–1580."
44,Carnivora,Felidae,Puma,Puma yagouaroundi,-47.54,-21.72,2006,atlantic_camtrap,"Lyra-Jorge, M. C., G. Ciocheti, and V. R. Pivello. 2008. Carnivore mammals in a fragmented landscape in northeast of Sao Paulo State, Brazil. Biodiversity and Conservation 17:1573–1580."
45,Carnivora,Mephitidae,Conepatus,Conepatus semistriatus,-47.54,-21.72,2006,atlantic_camtrap,"Lyra-Jorge, M. C., G. Ciocheti, and V. R. Pivello. 2008. Carnivore mammals in a fragmented landscape in northeast of Sao Paulo State, Brazil. Biodiversity and Conservation 17:1573–1580."
