rowid,order,family,genus,species,longitude,latitude,year,source,study
1,Carnivora,Canidae,Cerdocyon,Cerdocyon thous,-52.533333000000006,-29.383332999999997,2009,atlantic_large_mammals,"Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174"
2,Rodentia,Cuniculidae,Cuniculus,Cuniculus paca,-52.533333000000006,-29.383332999999997,2009,atlantic_large_mammals,"Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174"
3,Cingulata,Dasypodidae,Dasypus,Dasypus novemcinctus,-52.533333000000006,-29.383332999999997,2009,atlantic_large_mammals,"Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174"
4,Primates,Cebidae,Sapajus,Sapajus nigritus,-52.533333000000006,-29.383332999999997,2009,atlantic_large_mammals,"Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174"
5,Primates,Atelidae,Alouatta,Alouatta guariba,-52.533333000000006,-29.383332999999997,2009,atlantic_large_mammals,"Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174"
6,Carnivora,Felidae,Leopardus,Leopardus wiedii,-52.533333000000006,-29.383332999999997,2009,atlantic_large_mammals,"Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174"
7,Carnivora,Mustelidae,Lontra,Lontra longicaudis,-52.533333000000006,-29.383332999999997,2009,atlantic_large_mammals,"Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174"
8,Carnivora,Mustelidae,Eira,Eira barbara,-52.533333000000006,-29.383332999999997,2009,atlantic_large_mammals,"Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174"
9,Carnivora,Procyonidae,Nasua,Nasua nasua,-52.533333000000006,-29.383332999999997,2009,atlantic_large_mammals,"Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174"
10,Carnivora,Procyonidae,Procyon,Procyon cancrivorus,-52.533333000000006,-29.383332999999997,2009,atlantic_large_mammals,"Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174"
11,Artiodactyla,Cervidae,Mazama,Mazama sp.,-52.533333000000006,-29.383332999999997,2009,atlantic_large_mammals,"Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174"
12,Rodentia,Cuniculidae,Cuniculus,Cuniculus paca,-52.533333000000006,-29.383332999999997,2009,atlantic_large_mammals,"Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174"
13,Rodentia,Caviidae,Hydrochoerus,Hydrochoerus hydrochaeris,-52.533333000000006,-29.383332999999997,2009,atlantic_large_mammals,"Abreu-Junior, E.F. and Kohler, A. (2009). Mammalian fauna of medium and large sized in the RPPN of UNISC, RS, Brazil. Biota Neotrop. 9, 169–174"
14,Didelphimorphia,Didelphidae,Didelphis,Didelphis aurita,-41.872722,-21.484167,2006,atlantic_large_mammals,"Albuquerque, H.G., Martins, P.F., Pessoa, F.S., Carvalho, T., Modesto, T.C., Luz, J.J., Raices, D.S.L., Ardete, N.C., Lessa, I.C.M., Attias, N., Jordao-Nogueira, T., Enrici, M.C. and Bergallo, H.G. (2013). Mammals of a forest fragment in Cambuci municipality, state of Rio de Janeiro, Brazil. Check List. 9, 1505-1509"
15,Carnivora,Procyonidae,Nasua,Nasua nasua,-41.872722,-21.484167,2006,atlantic_large_mammals,"Albuquerque, H.G., Martins, P.F., Pessoa, F.S., Carvalho, T., Modesto, T.C., Luz, J.J., Raices, D.S.L., Ardete, N.C., Lessa, I.C.M., Attias, N., Jordao-Nogueira, T., Enrici, M.C. and Bergallo, H.G. (2013). Mammals of a forest fragment in Cambuci municipality, state of Rio de Janeiro, Brazil. Check List. 9, 1505-1509"
16,Carnivora,Procyonidae,Procyon,Procyon cancrivorus,-41.872722,-21.484167,2006,atlantic_large_mammals,"Albuquerque, H.G., Martins, P.F., Pessoa, F.S., Carvalho, T., Modesto, T.C., Luz, J.J., Raices, D.S.L., Ardete, N.C., Lessa, I.C.M., Attias, N., Jordao-Nogueira, T., Enrici, M.C. and Bergallo, H.G. (2013). Mammals of a forest fragment in Cambuci municipality, state of Rio de Janeiro, Brazil. Check List. 9, 1505-1509"
17,Rodentia,Cuniculidae,Cuniculus,Cuniculus paca,-41.872722,-21.484167,2006,atlantic_large_mammals,"Albuquerque, H.G., Martins, P.F., Pessoa, F.S., Carvalho, T., Modesto, T.C., Luz, J.J., Raices, D.S.L., Ardete, N.C., Lessa, I.C.M., Attias, N., Jordao-Nogueira, T., Enrici, M.C. and Bergallo, H.G. (2013). Mammals of a forest fragment in Cambuci municipality, state of Rio de Janeiro, Brazil. Check List. 9, 1505-1509"
18,Cingulata,Dasypodidae,Dasypus,Dasypus novemcinctus,-41.872722,-21.484167,2006,atlantic_large_mammals,"Albuquerque, H.G., Martins, P.F., Pessoa, F.S., Carvalho, T., Modesto, T.C., Luz, J.J., Raices, D.S.L., Ardete, N.C., Lessa, I.C.M., Attias, N., Jordao-Nogueira, T., Enrici, M.C. and Bergallo, H.G. (2013). Mammals of a forest fragment in Cambuci municipality, state of Rio de Janeiro, Brazil. Check List. 9, 1505-1509"
19,Artiodactyla,Cervidae,Mazama,Mazama sp.,-48.41048299999999,-22.818474000000002,2005,atlantic_large_mammals,"Alves, T. R., Fonseca, R. C., and Engel, V. L. (2012). Mamiferos de medio e grande porte e sua relacao com o mosaico de habitats na cuesta de Botucatu, Estado de Sao Paulo, Brasil. Iheringia. S. Zool. 102, 150-158."
