rowid,order,family,genus,species,longitude,latitude,year,source,geometry
1,Carnivora,Felidae,Leopardus,Leopardus pardalis,-41.81,-19.72,2007,atlantic_camtrap,"c(-41.81, -19.72)"
2,Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,-41.81,-19.72,2007,atlantic_camtrap,"c(-41.81, -19.72)"
3,Carnivora,Felidae,Leopardus,Leopardus pardalis,-47.54,-21.72,2006,atlantic_camtrap,"c(-47.54, -21.72)"
4,Carnivora,Felidae,Leopardus,Leopardus guttulus,-47.54,-21.72,2006,atlantic_camtrap,"c(-47.54, -21.72)"
5,Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,-47.54,-21.72,2006,atlantic_camtrap,"c(-47.54, -21.72)"
6,Carnivora,Felidae,Leopardus,Leopardus guttulus,-53.3,-27.94,2011,atlantic_camtrap,"c(-53.3, -27.94)"
7,Carnivora,Felidae,Leopardus,Leopardus pardalis,-42.46,-20.69,2008,atlantic_camtrap,"c(-42.46, -20.69)"
8,Carnivora,Felidae,Leopardus,Leopardus wiedii,-42.46,-20.69,2008,atlantic_camtrap,"c(-42.46, -20.69)"
9,Carnivora,Felidae,Leopardus,Leopardus pardalis,-48.84,-27.43,2006,atlantic_camtrap,"c(-48.84, -27.43)"
10,Carnivora,Felidae,Leopardus,Leopardus guttulus,-48.84,-27.43,2006,atlantic_camtrap,"c(-48.84, -27.43)"
11,Carnivora,Felidae,Leopardus,Leopardus wiedii,-48.84,-27.43,2006,atlantic_camtrap,"c(-48.84, -27.43)"
12,Carnivora,Felidae,Leopardus,Leopardus pardalis,-40.55,-19.9,2002,atlantic_camtrap,"c(-40.55, -19.9)"
13,Carnivora,Felidae,Leopardus,Leopardus guttulus,-40.55,-19.9,2002,atlantic_camtrap,"c(-40.55, -19.9)"
14,Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,-40.55,-19.9,2004,atlantic_camtrap,"c(-40.55, -19.9)"
15,Carnivora,Felidae,Leopardus,Leopardus wiedii,-43.49,-20,2008,atlantic_camtrap,"c(-43.49, -20)"
16,Carnivora,Felidae,Leopardus,Leopardus pardalis,-48.82,-27.9,2009,atlantic_camtrap,"c(-48.82, -27.9)"
17,Carnivora,Felidae,Leopardus,Leopardus guttulus,-48.82,-27.9,2009,atlantic_camtrap,"c(-48.82, -27.9)"
18,Carnivora,Felidae,Leopardus,Leopardus wiedii,-48.82,-27.9,2009,atlantic_camtrap,"c(-48.82, -27.9)"
19,Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,-48.82,-27.9,2009,atlantic_camtrap,"c(-48.82, -27.9)"
20,Carnivora,Felidae,Leopardus,Leopardus pardalis,-46.5,-23.2,2010,atlantic_camtrap,"c(-46.5, -23.2)"
21,Carnivora,Felidae,Leopardus,Leopardus pardalis,-47.94,-24.13,2010,atlantic_camtrap,"c(-47.94, -24.13)"
22,Carnivora,Felidae,Leopardus,Leopardus wiedii,-47.94,-24.13,2011,atlantic_camtrap,"c(-47.94, -24.13)"
23,Carnivora,Felidae,Leopardus,Leopardus pardalis,-44.96,-21.28,2007,atlantic_camtrap,"c(-44.96, -21.28)"
24,Carnivora,Felidae,Leopardus,Leopardus pardalis,-45.43,-23.59,2011,atlantic_camtrap,"c(-45.43, -23.59)"
25,Carnivora,Felidae,Leopardus,Leopardus guttulus,-45.43,-23.59,2011,atlantic_camtrap,"c(-45.43, -23.59)"
26,Carnivora,Felidae,Leopardus,Leopardus pardalis,-49.66,-26.7,2008,atlantic_camtrap,"c(-49.66, -26.7)"
27,Carnivora,Felidae,Leopardus,Leopardus guttulus,-49.66,-26.7,2008,atlantic_camtrap,"c(-49.66, -26.7)"
28,Carnivora,Felidae,Leopardus,Leopardus wiedii,-49.66,-26.7,2008,atlantic_camtrap,"c(-49.66, -26.7)"
29,Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,-49.66,-26.7,2008,atlantic_camtrap,"c(-49.66, -26.7)"
30,Carnivora,Felidae,Leopardus,Leopardus wiedii,-39.11,-15.23,2008,atlantic_camtrap,"c(-39.11, -15.23)"
31,Carnivora,Felidae,Leopardus,Leopardus wiedii,-39.09,-15.38,2009,atlantic_camtrap,"c(-39.09, -15.38)"
32,Carnivora,Felidae,Leopardus,Leopardus pardalis,-43.27,-21.72,2007,atlantic_camtrap,"c(-43.27, -21.72)"
33,Carnivora,Felidae,Leopardus,Leopardus pardalis,-43.31,-21.76,2007,atlantic_camtrap,"c(-43.31, -21.76)"
34,Carnivora,Felidae,Leopardus,Leopardus wiedii,-44,-22.83,2011,atlantic_camtrap,"c(-44, -22.83)"
35,Carnivora,Felidae,Leopardus,Leopardus pardalis,-40.56,-19.9,2008,atlantic_camtrap,"c(-40.56, -19.9)"
36,Carnivora,Felidae,Leopardus,Leopardus pardalis,-43.28,-21.74,2006,atlantic_camtrap,"c(-43.28, -21.74)"
37,Carnivora,Felidae,Leopardus,Leopardus pardalis,-48.08,-25.05,2011,atlantic_camtrap,"c(-48.08, -25.05)"
38,Carnivora,Felidae,Leopardus,Leopardus guttulus,-48.08,-25.05,2011,atlantic_camtrap,"c(-48.08, -25.05)"
39,Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,-48.08,-25.05,2011,atlantic_camtrap,"c(-48.08, -25.05)"
40,Carnivora,Felidae,Leopardus,Leopardus pardalis,-53.66,-27,2005,atlantic_camtrap,"c(-53.66, -27)"
41,Carnivora,Felidae,Leopardus,Leopardus wiedii,-53.66,-27,2005,atlantic_camtrap,"c(-53.66, -27)"
42,Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,-53.66,-27,2005,atlantic_camtrap,"c(-53.66, -27)"
43,Carnivora,Felidae,Leopardus,Leopardus guttulus,-53.66,-27,2006,atlantic_camtrap,"c(-53.66, -27)"
44,Carnivora,Felidae,Leopardus,Leopardus guttulus,-49.02,-26.75,2007,atlantic_camtrap,"c(-49.02, -26.75)"
45,Carnivora,Felidae,Leopardus,Leopardus wiedii,-49.02,-26.75,2007,atlantic_camtrap,"c(-49.02, -26.75)"
46,Carnivora,Felidae,Leopardus,Leopardus wiedii,-39.1,-16.3,2009,atlantic_camtrap,"c(-39.1, -16.3)"
47,Carnivora,Felidae,Leopardus,Leopardus pardalis,-45.08,-23.32,2009,atlantic_camtrap,"c(-45.08, -23.32)"
48,Carnivora,Felidae,Leopardus,Leopardus guttulus,-45.08,-23.32,2009,atlantic_camtrap,"c(-45.08, -23.32)"
49,Carnivora,Felidae,Leopardus,Leopardus wiedii,-45.08,-23.32,2009,atlantic_camtrap,"c(-45.08, -23.32)"
50,Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,-45.08,-23.32,2009,atlantic_camtrap,"c(-45.08, -23.32)"
51,Carnivora,Felidae,Leopardus,Leopardus pardalis,-39.75,-19.1,2006,atlantic_camtrap,"c(-39.75, -19.1)"
52,Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,-39.75,-19.1,2006,atlantic_camtrap,"c(-39.75, -19.1)"
53,Carnivora,Felidae,Leopardus,Leopardus wiedii,-39.75,-19.1,2008,atlantic_camtrap,"c(-39.75, -19.1)"
54,Carnivora,Felidae,Leopardus,Leopardus pardalis,-48.43,-22.83,2005,atlantic_camtrap,"c(-48.43, -22.83)"
55,Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,-48.43,-22.83,2005,atlantic_camtrap,"c(-48.43, -22.83)"
56,Carnivora,Felidae,Leopardus,Leopardus guttulus,-48.88,-27.08,2009,atlantic_camtrap,"c(-48.88, -27.08)"
57,Carnivora,Felidae,Leopardus,Leopardus wiedii,-48.88,-27.08,2009,atlantic_camtrap,"c(-48.88, -27.08)"
58,Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,-48.88,-27.08,2009,atlantic_camtrap,"c(-48.88, -27.08)"
59,Carnivora,Felidae,Leopardus,Leopardus pardalis,-48.34,-24.06,2009,atlantic_camtrap,"c(-48.34, -24.06)"
62,Carnivora,Felidae,Leopardus,Leopardus pardalis,-52.46,-22.48,2008,atlantic_camtrap,"c(-52.46, -22.48)"
63,Carnivora,Felidae,Leopardus,Leopardus pardalis,-52.51,-22.41,2008,atlantic_camtrap,"c(-52.51, -22.41)"
64,Carnivora,Felidae,Leopardus,Leopardus pardalis,-52.39,-22.33,2008,atlantic_camtrap,"c(-52.39, -22.33)"
65,Carnivora,Felidae,Leopardus,Leopardus pardalis,-52.39,-22.25,2007,atlantic_camtrap,"c(-52.39, -22.25)"
66,Carnivora,Felidae,Leopardus,Leopardus pardalis,-52.26,-22.14,2008,atlantic_camtrap,"c(-52.26, -22.14)"
67,Carnivora,Felidae,Leopardus,Leopardus pardalis,-46.78,-22.57,2015,atlantic_camtrap,"c(-46.78, -22.57)"
68,Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,-48.15,-22.66,2014,atlantic_camtrap,"c(-48.15, -22.66)"
69,Carnivora,Felidae,Leopardus,Leopardus pardalis,-47.32,-22.26,2014,atlantic_camtrap,"c(-47.32, -22.26)"
70,Carnivora,Felidae,Leopardus,Leopardus guttulus,-47.13,-22.61,2015,atlantic_camtrap,"c(-47.13, -22.61)"
71,Carnivora,Felidae,Leopardus,Leopardus pardalis,-49.69,-22.4,2013,atlantic_camtrap,"c(-49.69, -22.4)"
72,Carnivora,Felidae,Leopardus,Leopardus guttulus,-47.57,-22.56,2014,atlantic_camtrap,"c(-47.57, -22.56)"
73,Carnivora,Felidae,Leopardus,Leopardus pardalis,-50.94,-22.07,2015,atlantic_camtrap,"c(-50.94, -22.07)"
74,Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,-50.94,-22.07,2015,atlantic_camtrap,"c(-50.94, -22.07)"
75,Carnivora,Felidae,Leopardus,Leopardus guttulus,-48.53,-21.61,2014,atlantic_camtrap,"c(-48.53, -21.61)"
76,Carnivora,Felidae,Leopardus,Leopardus pardalis,-52.24,-22.53,2015,atlantic_camtrap,"c(-52.24, -22.53)"
77,Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,-52.24,-22.53,2015,atlantic_camtrap,"c(-52.24, -22.53)"
78,Carnivora,Felidae,Leopardus,Leopardus guttulus,-49.29,-21.52,2015,atlantic_camtrap,"c(-49.29, -21.52)"
79,Carnivora,Felidae,Leopardus,Leopardus pardalis,-47.61,-22.62,2015,atlantic_camtrap,"c(-47.61, -22.62)"
80,Carnivora,Felidae,Leopardus,Leopardus guttulus,-48.07,-23.16,2015,atlantic_camtrap,"c(-48.07, -23.16)"
81,Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,-48.07,-23.16,2015,atlantic_camtrap,"c(-48.07, -23.16)"
82,Carnivora,Felidae,Leopardus,Leopardus guttulus,-47.43,-21.85,2014,atlantic_camtrap,"c(-47.43, -21.85)"
83,Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,-47.43,-21.85,2014,atlantic_camtrap,"c(-47.43, -21.85)"
84,Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,-46.74,-21.59,2015,atlantic_camtrap,"c(-46.74, -21.59)"
85,Carnivora,Felidae,Leopardus,Leopardus guttulus,-47.36,-22.83,2015,atlantic_camtrap,"c(-47.36, -22.83)"
86,Carnivora,Felidae,Leopardus,Leopardus pardalis,-50.23,-20.49,2015,atlantic_camtrap,"c(-50.23, -20.49)"
87,Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,-50.23,-20.49,2015,atlantic_camtrap,"c(-50.23, -20.49)"
88,Carnivora,Felidae,Leopardus,Leopardus pardalis,-53.86,-25.46,2009,atlantic_camtrap,"c(-53.86, -25.46)"
89,Carnivora,Felidae,Leopardus,Leopardus guttulus,-53.86,-25.46,2009,atlantic_camtrap,"c(-53.86, -25.46)"
90,Carnivora,Felidae,Leopardus,Leopardus wiedii,-53.86,-25.46,2009,atlantic_camtrap,"c(-53.86, -25.46)"
91,Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,-53.86,-25.46,2009,atlantic_camtrap,"c(-53.86, -25.46)"
92,Carnivora,Felidae,Leopardus,Leopardus pardalis,-48.21,-24.2,2011,atlantic_camtrap,"c(-48.21, -24.2)"
93,Carnivora,Felidae,Leopardus,Leopardus guttulus,-48.21,-24.2,2011,atlantic_camtrap,"c(-48.21, -24.2)"
94,Carnivora,Felidae,Leopardus,Leopardus wiedii,-48.21,-24.2,2011,atlantic_camtrap,"c(-48.21, -24.2)"
95,Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,-48.21,-24.2,2011,atlantic_camtrap,"c(-48.21, -24.2)"
96,Carnivora,Felidae,Leopardus,Leopardus pardalis,-50.39,-29.4,2007,atlantic_camtrap,"c(-50.39, -29.4)"
97,Carnivora,Felidae,Leopardus,Leopardus guttulus,-50.39,-29.4,2007,atlantic_camtrap,"c(-50.39, -29.4)"
98,Carnivora,Felidae,Leopardus,Leopardus wiedii,-50.39,-29.4,2007,atlantic_camtrap,"c(-50.39, -29.4)"
99,Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,-50.39,-29.4,2007,atlantic_camtrap,"c(-50.39, -29.4)"
100,Carnivora,Felidae,Leopardus,Leopardus pardalis,-50.2,-29.46,2002,atlantic_camtrap,"c(-50.2, -29.46)"
101,Carnivora,Felidae,Leopardus,Leopardus guttulus,-50.2,-29.46,2002,atlantic_camtrap,"c(-50.2, -29.46)"
102,Carnivora,Felidae,Leopardus,Leopardus wiedii,-50.2,-29.46,2002,atlantic_camtrap,"c(-50.2, -29.46)"
103,Carnivora,Felidae,Leopardus,Leopardus pardalis,-48.8,-25.38,2012,atlantic_camtrap,"c(-48.8, -25.38)"
104,Carnivora,Felidae,Leopardus,Leopardus guttulus,-48.8,-25.38,2012,atlantic_camtrap,"c(-48.8, -25.38)"
105,Carnivora,Felidae,Leopardus,Leopardus wiedii,-48.8,-25.38,2012,atlantic_camtrap,"c(-48.8, -25.38)"
106,Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,-48.8,-25.38,2012,atlantic_camtrap,"c(-48.8, -25.38)"
107,Carnivora,Felidae,Leopardus,Leopardus pardalis,-48.63,-25.2,2012,atlantic_camtrap,"c(-48.63, -25.2)"
108,Carnivora,Felidae,Leopardus,Leopardus guttulus,-48.63,-25.2,2012,atlantic_camtrap,"c(-48.63, -25.2)"
109,Carnivora,Felidae,Leopardus,Leopardus wiedii,-48.63,-25.2,2012,atlantic_camtrap,"c(-48.63, -25.2)"
110,Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,-48.63,-25.2,2012,atlantic_camtrap,"c(-48.63, -25.2)"
111,Carnivora,Felidae,Leopardus,Leopardus pardalis,-48.48,-25.3,2011,atlantic_camtrap,"c(-48.48, -25.3)"
112,Carnivora,Felidae,Leopardus,Leopardus guttulus,-48.48,-25.3,2011,atlantic_camtrap,"c(-48.48, -25.3)"
113,Carnivora,Felidae,Leopardus,Leopardus pardalis,-48.29,-25.16,2012,atlantic_camtrap,"c(-48.29, -25.16)"
114,Carnivora,Felidae,Leopardus,Leopardus guttulus,-48.29,-25.16,2012,atlantic_camtrap,"c(-48.29, -25.16)"
115,Carnivora,Felidae,Leopardus,Leopardus wiedii,-48.29,-25.16,2012,atlantic_camtrap,"c(-48.29, -25.16)"
116,Carnivora,Felidae,Leopardus,Leopardus pardalis,-44.8,-22.36,2016,atlantic_camtrap,"c(-44.8, -22.36)"
117,Carnivora,Felidae,Leopardus,Leopardus guttulus,-44.8,-22.36,2016,atlantic_camtrap,"c(-44.8, -22.36)"
