order,family,genus,species,longitude,latitude,year,source,study,geometry
Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,-41.81,-19.72,2007,atlantic_camtrap,"Paschoal, A. M. O., R. L. Massara, J. L. Santos, and A. G. Chiarello. 2012. Is the domestic dog becoming an abundant species in the Atlantic forest? A study case in southeastern Brazil. Mammalia 76:67�76.","c(-41.81, -19.72)"
Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,-47.54,-21.72,2006,atlantic_camtrap,"Lyra-Jorge, M. C., G. Ciocheti, and V. R. Pivello. 2008. Carnivore mammals in a fragmented landscape in northeast of Sao Paulo State, Brazil. Biodiversity and Conservation 17:1573�1580.","c(-47.54, -21.72)"
Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,-40.55,-19.9,2004,atlantic_camtrap,"Srbek-Araujo, A. C., and A. G. Chiarello. 2005. Is camera-trapping an efficient method for surveying mammals in Neotropical forests? A case study in south-eastern Brazil. Journal of Tropical Ecology 21:121�125.","c(-40.55, -19.9)"
Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,-48.82,-27.9,2009,atlantic_camtrap,"Cherem, J. J., M. E. Graipel, M. Tortato, S. Althoff, F. Bruggemann, J. Matos, J. C. Voltolini, R. Freitas, R. Illenseer, F. Hoffmann, I. R. Ghizoni-Jr, A. Bevilacqua, R. Reinicke, C. H. Salvador, A. Filippini, N. Furnari, K. Abati, M. Moraes, T. Moreira, L. G. Rodrigues, K. Vanessa, T. Maccarini, F. Goulart, H. Mozerle, F. Fantacini, D. Dias, R. Penedo-Ferreira, B. Pinto, and P. C. Simoes-Lopes. 2011. Mastofauna terrestre do Parque Estadual da Serra do Tabuleiro, Estado de Santa Catarina, sul do Brasil. Biotemas 24:73�84.","c(-48.82, -27.9)"
Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,-49.66,-26.7,2008,atlantic_camtrap,"Tortato, F. R., Testoni, A. F., and Althoff, S. L. 2014. Mastofauna terrestre da Reserva Biologica Estadual do Sassafras, Doutor Pedrinho, Santa Catarina, Sul do Brasil.�Revista Biotemas�27(3): 123-129.","c(-49.66, -26.7)"
Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,-48.08,-25.05,2011,atlantic_camtrap,"Hortenci, L. 2012. Defaunacao e efeitos-cascata sobre a diversidade vegetal em uma ilha �semi - defaunada� na Floresta Atlantica:75.","c(-48.08, -25.05)"
Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,-53.66,-27,2005,atlantic_camtrap,"Kasper, C. B., F. D. Mazim, J. B. G. Soares, T. G. D. Oliveira, and M. E. Fabian. 2007. Composicao e abundancia relativa dos mamiferos de medio e grande porte no Parque Estadual do Turvo , Rio Grande do Sul , Brasil. Revista Brasileira de Zoologia 24:1087�1100.","c(-53.66, -27)"
Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,-45.08,-23.32,2009,atlantic_camtrap,"Rocha-Mendes, F., Neves, C. L., Nobre, R. D. A., Marques, R. M., Bianconi, G. V., and Galetti, M. 2015. Non-volant mammals from Nucleo Santa Virginia, Serra do Mar State Park, Sao Paulo, Brazil.�Biota Neotropica�15(1): 1-9.","c(-45.08, -23.32)"
Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,-39.75,-19.1,2006,atlantic_camtrap,"Srbek-Araujo, A. C., and A. G. Chiarello. 2013. Influence of camera-trap sampling design on mammal species capture rates and community structures in southeastern Brazil. Biota Neotropica 13:51�62.","c(-39.75, -19.1)"
Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,-48.43,-22.83,2005,atlantic_camtrap,"Alves, T. R. 2009. Diversidade de mamiferos de medio e grande porte e sua relacao com o mosaico vegetacional na fazenda experimental Edgardia, Unesp, Botucatu/SP.","c(-48.43, -22.83)"
